bs,bw
1,9635.0
1,11571.2
1,9164.0
1,8569.0
2,21094.4
2,18636.8
2,21913.6
3,32460.8
3,30617.6
4,34304.0
4,33996.8
5,43212.8
6,64921.6
6,57856.0
8,85196.8
9,96256.0
10,102195.2
12,130048.0
13,135168.0
16,161792.0
18,189440.0
21,231424.0
24,225280.0
27,282624.0
32,336896.0
36,385024.0
42,433152.0
48,506880.0
55,518144.0
64,680960.0
73,763904.0
84,899072.0
97,960512.0
111,1205248.0
128,1334272.0
147,1512448.0
168,1675264.0
194,2097152.0
222,2259968.0
256,2649088.0
294,2676736.0
337,3610624.0
388,4065280.0
445,4279296.0
512,5160960.0
588,5073920.0
675,7090176.0
776,6856704.0
891,9108480.0
1024,10905190.4
1176,12897484.8
1351,14155776.0
1552,15414067.2
1782,15833497.6
2048,19818086.4
2352,22544384.0
2702,26948403.2
3104,27996979.2
3565,31247564.8
4096,37224448.0
4705,43306188.8
5404,46347059.2
6208,55993958.4
7131,69940019.2
8192,76021760.0
9410,77175193.6
10809,102970163.2
12416,109051904.0
14263,69730304.0
16384,66689433.6
18820,104857600.0
21618,104752742.4
24833,114294784.0
28526,109051904.0
32768,116391936.0
37640,116391936.0
43237,116391936.0
49667,115343360.0
57052,116391936.0
65536,116391936.0
75281,116391936.0
86475,116391936.0
99334,116391936.0
114104,114294784.0
131072,115343360.0
150562,115343360.0
172950,115343360.0
198668,115343360.0
228209,115343360.0
262144,115343360.0
301124,115343360.0
345901,115343360.0
397336,115343360.0
456419,115343360.0
524288,116391936.0
602248,116391936.0
691802,116391936.0
794672,116391936.0
912838,115343360.0
1048576,114294784.0
1204497,116391936.0
1383604,116391936.0
1589344,117440512.0
1825676,117440512.0
2097152,114294784.0
2408995,118489088.0
2767208,118489088.0
3178688,120586240.0
3651353,121634816.0
4194304,122683392.0
4817990,123731968.0
5534417,125829120.0
6357376,126877696.0
7302707,127926272.0
