bs,bw
1,24678.4
1,20787.2
1,25804.8
1,23449.6
2,46796.8
2,46592.0
2,50380.8
3,74752.0
3,74649.6
4,90112.0
4,91238.4
5,112640.0
6,121856.0
6,130048.0
8,177152.0
9,226304.0
10,250880.0
12,269312.0
13,313344.0
16,407552.0
18,451584.0
21,467968.0
24,566272.0
27,570368.0
32,661504.0
36,799744.0
42,948224.0
48,975872.0
55,1418240.0
64,1625088.0
73,1785856.0
84,1986560.0
97,2350080.0
111,2348032.0
128,2642944.0
147,3350528.0
168,3395584.0
194,4408320.0
222,5005312.0
256,5272576.0
294,6190080.0
337,7060480.0
388,7781376.0
445,7630848.0
512,8664064.0
588,11953766.4
675,14680064.0
776,12268339.2
891,16882073.6
1024,17406361.6
1176,20552089.6
1351,20132659.2
1552,25585254.4
1782,24326963.2
2048,25270681.6
2352,26319257.6
2702,33973862.4
3104,36700160.0
3565,36175872.0
4096,41313894.4
4705,39636172.8
5404,45822771.2
6208,50017075.2
7131,46556774.4
8192,49702502.4
9410,55155097.6
10809,50226790.4
12416,41313894.4
14263,55259955.2
16384,55155097.6
18820,57776537.6
21618,54840524.8
24833,55155097.6
28526,57881395.2
32768,55574528.0
37640,43515904.0
43237,43725619.2
49667,51904512.0
57052,58300825.6
65536,58825113.6
75281,58615398.4
86475,59349401.6
99334,59663974.4
114104,59349401.6
131072,59559116.8
150562,48758784.0
172950,50226790.4
198668,54001664.0
228209,52219084.8
262144,50541363.2
301124,60293120.0
345901,59978547.2
397336,48968499.2
456419,50436505.6
524288,46556774.4
602248,44354764.8
691802,54525952.0
794672,50017075.2
912838,48024780.8
1048576,51694796.8
1204497,46451916.8
1383604,51589939.2
1589344,57147392.0
1825676,57461964.8
2097152,57461964.8
2408995,58929971.2
2767208,59559116.8
3178688,51170508.8
3651353,54735667.2
4194304,57042534.4
4817990,63648563.2
5534417,65640857.6
6357376,54316236.8
7302707,66270003.2
