bs,bw
1,438272.0
1,552960.0
1,487424.0
1,592896.0
1,636928.0
1,525312.0
1,538624.0
1,352256.0
1,412672.0
2,1126400.0
2,958464.0
2,985088.0
2,964608.0
2,974848.0
2,1032192.0
3,1646592.0
3,1671168.0
3,1708032.0
3,1131520.0
4,1484800.0
4,2375680.0
4,2581504.0
4,2613248.0
5,3283968.0
5,3186688.0
6,3578880.0
6,3671040.0
6,3886080.0
7,4359168.0
8,5009408.0
8,5124096.0
9,6008832.0
9,5198848.0
10,6057984.0
11,6734848.0
12,7182336.0
12,7638016.0
13,7259136.0
14,8086528.0
16,10307502.08
17,11010048.0
18,11114905.6
19,11744051.2
21,13212057.6
22,13316915.2
24,15309209.6
25,15833497.6
27,15518924.8
29,16882073.6
32,20132659.2
34,21915238.4
36,22963814.4
39,25165824.0
42,27367833.6
45,22649241.6
48,31247564.8
51,33449574.4
55,34917580.8
59,37224448.0
64,41104179.2
68,41943040.0
73,47185920.0
78,50855936.0
84,52219084.8
90,56203673.6
97,57042534.4
103,62390272.0
111,69730304.0
119,73295462.4
128,79482060.8
137,84620083.2
147,90177536.0
157,99090432.0
168,99509862.4
181,106954752.0
194,93218406.4
207,106954752.0
222,116391936.0
238,114294784.0
256,130023424.0
274,134217728.0
294,117440512.0
315,162529280.0
337,159383552.0
362,179306496.0
388,195035136.0
415,239075328.0
445,206569472.0
477,236978176.0
512,277872640.0
548,220200960.0
588,252706816.0
630,273678336.0
675,318767104.0
724,351272960.0
776,375390208.0
831,314572800.0
891,333447168.0
955,373293056.0
1024,386924544.0
1097,417333248.0
1176,430964736.0
1260,459276288.0
1351,490733568.0
1448,515899392.0
1552,562036736.0
1663,564133888.0
1782,627048448.0
1910,666894336.0
2048,737148928.0
2194,744488960.0
2352,774897664.0
2521,827326464.0
2702,913309696.0
2896,946864128.0
3104,1018167296.0
3326,1069547520.0
3565,1097859072.0
3821,1386217472.0
4096,1608515584.0
4389,1589641216.0
4705,1586495488.0
5042,1753219072.0
5404,2001731584.0
5792,1758461952.0
6208,2208301056.0
6653,2342518784.0
7131,2426404864.0
7643,2530213888.0
8192,2495610880.0
8779,2434793472.0
9410,2721054720.0
10085,2477785088.0
10809,2022703104.0
11585,1933574144.0
12416,2255486976.0
13307,3140485120.0
14263,3678404608.0
15286,3675258880.0
16384,3683647488.0
17559,2415919104.0
18820,2876243968.0
20171,2929721344.0
21618,3018850304.0
23170,3113222144.0
24833,2543845376.0
26615,3329228800.0
28526,3285188608.0
30573,3316645888.0
32768,3282042880.0
35119,3239051264.0
37640,3271557120.0
40342,3235905536.0
43237,3222274048.0
46340,3230662656.0
49667,3178233856.0
53231,3239051264.0
57052,3257925632.0
61147,3096444928.0
65536,3093299200.0
70239,3074424832.0
75281,3184525312.0
80684,3077570560.0
86475,3047161856.0
92681,3105882112.0
99334,2941255680.0
106463,2194669568.0
114104,3401580544.0
122294,2845835264.0
131072,2249195520.0
140479,3126853632.0
150562,3094347776.0
161368,3810525184.0
172950,4436525056.0
185363,3513778176.0
198668,3241148416.0
212927,3220176896.0
228209,3223322624.0
244589,3255828480.0
262144,3274702848.0
280958,3195011072.0
301124,3288334336.0
322737,3295674368.0
345901,3325034496.0
370727,3323985920.0
397336,3303014400.0
425854,3322937344.0
456419,3283091456.0
489178,3284140032.0
524288,3342860288.0
561917,3290431488.0
602248,3311403008.0
645474,3319791616.0
691802,3313500160.0
741455,3311403008.0
794672,3441426432.0
851708,3316645888.0
912838,3336568832.0
978356,3293577216.0
1048576,3375366144.0
1123835,3054501888.0
1204497,1365245952.0
1290948,2937061376.0
1383604,2615148544.0
1482910,2979004416.0
1589344,3273654272.0
1703416,3287285760.0
1825676,3293577216.0
1956712,3525312512.0
2097152,3230662656.0
2247671,3275751424.0
2408995,3353346048.0
2581896,3373268992.0
2767208,3338665984.0
2965820,3301965824.0
3178688,3299868672.0
3406833,3338665984.0
3651353,3307208704.0
3913424,3773825024.0
4194304,3406823424.0
4495343,3349151744.0
4817990,3387949056.0
5163793,3880779776.0
5534417,2885681152.0
5931641,3229614080.0
6357376,3256877056.0
6813666,3306160128.0
7302707,3346006016.0
7826848,3335520256.0
