bs,bw
1,54272.0
1,56422.4
1,56217.6
1,55705.6
1,56012.8
1,56524.8
1,54272.0
1,56012.8
1,54886.4
2,112640.0
2,109568.0
2,109568.0
2,111616.0
2,112640.0
2,112640.0
3,168960.0
3,166912.0
3,165888.0
3,167936.0
4,224256.0
4,223232.0
4,225280.0
4,223232.0
5,282624.0
5,280576.0
6,331776.0
6,330752.0
6,335872.0
7,395264.0
8,445440.0
8,445440.0
9,497664.0
9,494592.0
10,556032.0
11,623616.0
12,672768.0
12,670720.0
13,727040.0
14,777216.0
16,893952.0
17,945152.0
18,986112.0
19,1056768.0
21,1150976.0
22,1216512.0
24,1309696.0
25,1382400.0
27,1482752.0
29,1601536.0
32,1759232.0
34,1879040.0
36,1950720.0
39,2119680.0
42,2270208.0
45,2356224.0
48,2581504.0
51,2771968.0
55,2983936.0
59,3201024.0
64,3502080.0
68,3718144.0
73,3999744.0
78,4252672.0
84,4550656.0
90,4869120.0
97,5308416.0
103,5639168.0
111,6003712.0
119,6425600.0
128,7041024.0
137,7441408.0
147,7897088.0
157,8385536.0
168,8991744.0
181,9724928.0
194,10370416.64
207,11010048.0
222,11744051.2
238,12687769.6
256,13526630.4
274,14470348.8
294,15623782.4
315,16043212.8
337,17825792.0
362,18979225.6
388,20342374.4
415,21810380.8
445,22858956.8
477,24326963.2
512,26109542.4
548,27367833.6
588,29674700.8
630,31247564.8
675,32820428.8
724,35651584.0
776,37643878.4
831,40160460.8
891,41313894.4
955,41943040.0
1024,45193625.6
1097,47919923.2
1176,49807360.0
1260,49492787.2
1351,53477376.0
1448,55889100.8
1552,55469670.4
1663,55259955.2
1782,55679385.6
1910,54106521.6
2048,57776537.6
2194,52323942.4
2352,49387929.6
2521,51589939.2
2702,49178214.4
2896,53267660.8
3104,52743372.8
3326,54630809.6
3565,53477376.0
3821,56203673.6
4096,55259955.2
4389,57671680.0
4705,57042534.4
5042,55679385.6
5404,58405683.2
5792,57147392.0
6208,55574528.0
6653,57776537.6
7131,57986252.8
7643,54735667.2
8192,56937676.8
8779,55889100.8
9410,59034828.8
10085,57461964.8
10809,57147392.0
11585,55889100.8
12416,56623104.0
13307,56518246.4
14263,55889100.8
15286,53896806.4
16384,57461964.8
17559,57252249.6
18820,55784243.2
20171,54106521.6
21618,52428800.0
23170,53267660.8
24833,57881395.2
26615,56098816.0
28526,55993958.4
30573,57357107.2
32768,53791948.8
35119,57042534.4
37640,56727961.6
40342,56832819.2
43237,55784243.2
46340,54421094.4
49667,57776537.6
53231,56413388.8
57052,56623104.0
61147,56832819.2
65536,638582784.0
