bs,bw
1048576,106954752.0
1123835,67738009.6
1204497,68052582.4
1290948,67108864.0
1383604,67947724.8
1482910,68472012.8
1589344,69940019.2
1703416,69520588.8
1825676,69730304.0
1956712,69730304.0
2097152,108003328.0
2247671,70359449.6
2408995,69730304.0
2581896,70988595.2
2767208,70778880.0
2965820,70359449.6
3178688,70674022.4
3406833,70883737.6
3651353,69206016.0
3913424,70464307.2
4194304,106954752.0
4495343,73819750.4
4817990,70569164.8
5163793,70464307.2
5534417,70359449.6
5931641,71093452.8
6357376,71722598.4
6813666,71512883.2
7302707,70674022.4
7826848,71827456.0
8388608,111149056.0
8990687,76336332.8
9635980,72771174.4
10327587,73295462.4
11068834,72666316.8
11863283,73505177.6
12714752,75392614.4
13627333,73610035.2
14605414,72771174.4
15653696,73295462.4
16777216,111149056.0
17981374,74553753.6
19271960,73400320.0
20655175,74658611.2
22137669,74973184.0
23726566,74868326.4
25429504,72561459.2
27254667,72456601.6
29210829,73819750.4
31307392,73924608.0
1048576,100977868.8
1204497,68891443.2
1383604,67318579.2
1589344,68891443.2
1825676,68996300.8
2097152,110100480.0
2408995,70569164.8
2767208,70883737.6
3178688,71093452.8
3651353,71617740.8
4194304,114294784.0
4817990,74134323.2
5534417,70778880.0
6357376,71722598.4
7302707,71303168.0
8388608,112197632.0
9635980,73819750.4
11068834,71093452.8
12714752,72142028.8
14605414,70464307.2
16777216,113246208.0
19271960,75602329.6
22137669,73400320.0
25429504,74763468.8
29210829,74344038.4
33554432,109051904.0
38543920,75287756.8
44275338,73610035.2
50859008,71617740.8
58421659,71512883.2
67108864,101082726.4
77087841,75707187.2
88550676,76441190.4
101718016,72037171.2
1024,41418752.0
1097,41943040.0
1176,43725619.2
1260,44669337.6
1351,45403340.8
1448,46556774.4
1552,47500492.8
1663,48758784.0
1782,49597644.8
1910,50121932.8
2048,51694796.8
2194,51380224.0
2352,53162803.2
2521,54106521.6
2702,53791948.8
2896,55364812.8
3104,55993958.4
3326,55993958.4
3565,56832819.2
3821,56832819.2
4096,38902169.6
4389,58405683.2
4705,59139686.4
5042,59559116.8
5404,59978547.2
5792,59663974.4
6208,60397977.6
6653,61551411.2
7131,60922265.6
7643,62599987.2
8192,59349401.6
8779,61865984.0
9410,62285414.4
10085,62075699.2
10809,62285414.4
11585,61341696.0
12416,61865984.0
13307,62599987.2
14263,64172851.2
15286,64172851.2
16384,74448896.0
17559,64277708.8
18820,63753420.8
20171,63648563.2
21618,63543705.6
23170,64697139.2
24833,65116569.6
26615,64277708.8
28526,64277708.8
30573,65431142.4
32768,80950067.2
35119,64172851.2
37640,63229132.8
40342,65221427.2
43237,64697139.2
46340,65326284.8
49667,64592281.6
53231,65431142.4
57052,65955430.4
61147,64906854.4
65536,89024102.4
70239,64801996.8
75281,65431142.4
80684,65640857.6
86475,65536000.0
92681,65745715.2
99334,64801996.8
106463,64906854.4
114104,65326284.8
122294,66060288.0
131072,93008691.2
140479,65745715.2
150562,65745715.2
161368,65640857.6
172950,65745715.2
185363,63963136.0
198668,66374860.8
212927,65640857.6
228209,65011712.0
244589,66479718.4
262144,100243865.6
280958,65640857.6
301124,66479718.4
322737,66270003.2
345901,66479718.4
370727,66270003.2
397336,65536000.0
425854,65850572.8
456419,65536000.0
489178,65745715.2
524288,92589260.8
561917,65745715.2
602248,65850572.8
645474,65640857.6
691802,66270003.2
741455,66479718.4
794672,67318579.2
851708,67004006.4
912838,67633152.0
978356,67738009.6
1048576,106954752.0
1123835,68681728.0
1204497,68262297.6
1290948,67947724.8
1383604,69101158.4
1482910,69415731.2
1589344,69206016.0
1703416,69520588.8
1825676,69940019.2
1956712,68786585.6
2097152,108003328.0
2247671,69206016.0
2408995,70883737.6
2581896,70569164.8
2767208,70044876.8
2965820,70778880.0
3178688,70883737.6
3406833,70149734.4
3651353,70464307.2
3913424,70569164.8
4194304,112197632.0
4495343,74868326.4
4817990,70464307.2
5163793,71093452.8
5534417,69835161.6
5931641,70883737.6
6357376,72037171.2
6813666,72037171.2
7302707,71617740.8
7826848,72037171.2
